Test category: INTERNATIONAL_ORGANIZATION
Sweden is the 3rd - largest EU country in land area .,['EU:INTERNATIONAL_ORGANIZATION'],[]
Test category: FACILITY_OTHER
Warragamba Dam supplies water to more than 3.7 million people living in Sydney and the lower Blue Mountains .,['Warragamba Dam:FACILITY_OTHER'],['Warragamba Dam supplies water:FACILITY_OTHER']
Test category: POLITICAL_PARTY
"From 1972 to 1991 Zambia was a one - party state with the UNIP as the sole legal political party under the motto `` One Zambia , One Nation '' .",[],['One Nation:POLITICAL_PARTY']
In 1948 the apartheid laws were started in South Africa by the dominant National Party .,['National Party:POLITICAL_PARTY'],['dominant National Party:POLITICAL_PARTY']
"Former leader Lord Kinnock told a meeting of his party 's MPs that Labour believed in parliamentary socialism , not anarcho - syndicalism .",['Labour:POLITICAL_PARTY'],['MPs that Labour:POLITICAL_PARTY']
The Scottish National Party is a Scottish nationalist and social - democratic political party in Scotland .,['social - democratic:POLITICAL_PARTY'],[]
"He is the founding leader of the Gambia Democratic Congress political party , which he formed in the summer of 2016 .",['Gambia Democratic Congress:POLITICAL_PARTY'],['Gambia Democratic Congress political party:POLITICAL_PARTY']
Hizb - e Wahdat is rooted in the turbulent period of the anti - Soviet resistance movements in Afghanistan .,['Hizb - e Wahdat:POLITICAL_PARTY'],[]
Test category: AIRCRAFT
The J170 was derived from the Jabiru J160 .,['J170:AIRCRAFT'],[]
The United States produced the Bach Air Yacht in the 1920s .,['Bach Air Yacht:AIRCRAFT'],[]
"Much to their dismay , the O'Neill Model J Magnum was folded due to low interest .","[""O'Neill Model J Magnum:AIRCRAFT""]",[]
Jamieson Corp designed and constructed the Jamieson J .,['Jamieson J:AIRCRAFT'],[]
They were n't sure if the IAE VUT Marabou was built as a piloted test vehicle .,['IAE VUT Marabo:AIRCRAFT'],['IAE VUT Marabou:AIRCRAFT']
The Ultravia Pelican was designed in the early 1980s and greatly resembles the Aeronca C - 2 of 1929 .,['Aeronca C - 2 of 1929:AIRCRAFT'],['Aeronca C - 2:AIRCRAFT']
Test category: ASTRAL_BODY_OTHER
"Thalassa is a natural satellite of the outer planet , Neptune .",['Thalassa:ASTRAL_BODY_OTHER'],[]
It became known as `` The Great Birthday Comet of 2011 '' as the Comet Lovejoy was announced .,['The Great Birthday Comet of 2011:ASTRAL_BODY_OTHER'],[]
"Discovered on December 23 , 1672 , by G.D. Cassini is Rhea .",['Rhea:ASTRAL_BODY_OTHER'],[]
"Like many other of Jupiter 's moons , no one knows how Europa was formed .",['Europa:ASTRAL_BODY_OTHER'],[]
Atlas was discovered in October 1980 .,['Atlas:ASTRAL_BODY_OTHER'],[]
Astronomer Charles Messier discovered M87 in 1781 .,['M87:ASTRAL_BODY_OTHER'],[]
Orbiters examined several times the surface of Mimas .,['Mimas:ASTRAL_BODY_OTHER'],['Orbiters:ASTRAL_BODY_OTHER']
1806 - 20 is a heavily obscured star cluster on the far side of the Milky Way .,['1806 - 20:ASTRAL_BODY_OTHER'],[]
The x - ray jets of Centaurus A are many years away .,['Centaurus A:ASTRAL_BODY_OTHER'],[]
"The surface of Larrisa , because it is non - spherical , is heavily cratered .",['Larrisa:ASTRAL_BODY_OTHER'],[]
"A NASA program that would have sent two groups of robotic probes to all the planets of the outer Solar System , was called the Grand Tour .",['Solar System:ASTRAL_BODY_OTHER'],[]
Test category: FLORA
Mottled stripe disease affects sugar cane .,['sugar cane:FLORA'],[]
A disease that should be a concern to all cucurbit growers is Phytophthora blight .,[],['growers:FLORA']
"A major disease of stone fruits , brown rot can cause huge losses in peaches , cherries , plums , prunes , nectarines and apricots .","['cherries:FLORA', 'peaches:FLORA', 'nectarines:FLORA', 'prunes:FLORA', 'plums:FLORA']",[]
"The bright orange California poppy is ideal for gardens in dry , sandy areas with full sun .",['California poppy:FLORA'],['orange California poppy:FLORA']
Rue is an evergreen plant often found as accent foliage or manicured into hedges .,['evergreen plant:FLORA'],"['hedges:FLORA', 'evergreen:FLORA']"
"With bright yellow , low - growing flowers , no wonder where the Basket of Gold got its name .",['Basket of Gold:FLORA'],['Basket:FLORA']
"On a darker note , Anemone indicates fading hope and a feeling of having been forsaken .",['Anemone:FLORA'],[]
"Ageratums come in blue , pink and white blooms and are also known as Flossflower .",['Flossflower:FLORA'],[]
Test category: FUNGUS
